100
0.000000	0.000000	0.000000
0.316844	0.000000	0.000000
0.633689	0.000000	0.000000
0.950533	0.000000	0.000000
1.267378	0.000000	0.000000
1.584222	0.000000	0.000000
1.901067	0.000000	0.000000
2.217911	0.000000	0.000000
2.534756	0.000000	0.000000
2.851600	0.000000	0.000000
3.168445	0.000000	0.000000
3.485289	0.000000	0.000000
3.802134	0.000202	0.000202
4.118978	0.000404	0.000404
4.435822	0.000606	0.000606
4.752667	0.000808	0.000808
5.069511	0.001010	0.001010
5.386355	0.001414	0.001414
5.703200	0.001818	0.001818
6.020044	0.002828	0.002828
6.336889	0.004444	0.004444
6.653734	0.006869	0.006869
6.970578	0.008889	0.008889
7.287423	0.011313	0.011313
7.604267	0.014343	0.014343
7.921112	0.018586	0.018586
8.237956	0.024848	0.024848
8.554800	0.029091	0.029091
8.871645	0.034949	0.034949
9.188489	0.039596	0.039596
9.505334	0.044848	0.044848
9.822178	0.051111	0.051111
10.139023	0.059798	0.059798
10.455867	0.069293	0.069293
10.772711	0.077576	0.077576
11.089556	0.086263	0.086263
11.406400	0.097374	0.097374
11.723245	0.105455	0.105455
12.040089	0.114949	0.114949
12.356934	0.124848	0.124848
12.673779	0.135758	0.135758
12.990623	0.145859	0.145859
13.307467	0.158586	0.158586
13.624311	0.167677	0.167677
13.941156	0.178990	0.178990
14.258000	0.192727	0.192727
14.574845	0.207475	0.207475
14.891689	0.218384	0.218384
15.208534	0.230707	0.230707
15.525378	0.245253	0.245253
15.842223	0.257980	0.257980
16.159067	0.270101	0.270101
16.475912	0.282020	0.282020
16.792757	0.294949	0.294949
17.109600	0.309091	0.309091
17.426445	0.321414	0.321414
17.743290	0.333535	0.333535
18.060135	0.346869	0.346869
18.376978	0.360202	0.360202
18.693823	0.370101	0.370101
19.010668	0.382626	0.382626
19.327513	0.395152	0.395152
19.644356	0.410505	0.410505
19.961201	0.423636	0.423636
20.278046	0.435354	0.435354
20.594891	0.448283	0.448283
20.911734	0.460808	0.460808
21.228579	0.471313	0.471313
21.545422	0.485657	0.485657
21.862268	0.498990	0.498990
22.179111	0.513737	0.513737
22.495956	0.526263	0.526263
22.812799	0.539596	0.539596
23.129646	0.552727	0.552727
23.446489	0.569293	0.569293
23.763334	0.583838	0.583838
24.080177	0.598182	0.598182
24.397024	0.609091	0.609091
24.713867	0.622424	0.622424
25.030712	0.636970	0.636970
25.347557	0.651919	0.651919
25.664402	0.668283	0.668283
25.981245	0.686465	0.686465
26.298090	0.703838	0.703838
26.614935	0.721818	0.721818
26.931780	0.739192	0.739192
27.248623	0.755758	0.755758
27.565468	0.774949	0.774949
27.882313	0.795960	0.795960
28.199158	0.817778	0.817778
28.516001	0.838788	0.838788
28.832848	0.862626	0.862626
29.149691	0.885051	0.885051
29.466536	0.905657	0.905657
29.783379	0.926263	0.926263
30.100225	0.950909	0.950909
30.417068	0.968283	0.968283
30.733913	0.985859	0.985859
31.050756	0.994949	0.994949
31.367603	0.999798	0.999798
